left_id	left_texts	right_id	right_texts	label
497769	в восстановление декларация как ндс отражать	511400	какой лист на путевой составлять срок	0
498812	акт безнадежный задолженность кредиторский о признание	493393	в единственный контракт поставщик реестр сведение	0
499910	1 ефс заполнять как	505883	больничный лист по предельный размер	0
497478	заверять каждый как книжка страница трудовой	497109	график детализация план	0
497143	график закупка когда можно план после размещать размещение	497642	лицо о персонифицировать сведение физ	0
482873	1 июль на с счет услуга фактура	497096	2020 год график для закупка на основание план утверждение	0
497148	44 график закупка особый план по фз	511400	лист оформление путевой срок	0
497864	алименты больничный если из как нет постановление удерживать	479782	кассовый книга наличие обособленный подразделение при	0
493408	в включение изменение контракт об реестр сведение условие	482207	14 19 коап	0
504542	калининградский мрот область	497138	график извещение изменение план после	0
497150	закупка небелый	481835	делать мобилизация по призывник с что	0
482698	выставка на организация приказ	467491	рабочий регламент	0
497766	декларация корректировочный на ндс	497477	бумажный заполнение книжка строка трудовой	0
465717	аренда в договор игк ли можно помещение указывать	497221	взнос за ипать себя срок	0
497502	выплачивать компенсация ли мобилизация нужно отпуск при	497138	график изменять план	0
504540	2022 минимум на прожиточный расчет	474597	голубика естественный норма убыль	0
505883	больничный лист по предельный размер	428126	расчетчик стаж	0
497143	в внесение график день заключать изменение контракт можно один план после через	482698	в выставка об отчет участие	0
500756	курсовой новый разница учет	497112	в график заказчик план течение утверждаться	0
497769	восстановление декларация налоговый ндс ндс	496964	4 за заполнять как кв на платежка уплата усна	0
497969	15 на организация расход с самозанять усна	497503	в мобилизация при сотрудник ставить табель что	0
463100	взнос инвалид на сотрудник травматизм	494551	м мобилизованный сзв	0
486122	ипать касса на нужный он патент	500729	аренда валюта курсовой мсфо разница	0
478798	5 аванс в в день квартал конец на счет течение фактура	500310	в зад обеспечительный платеж погашение счет ти учет	0
478491	служба срок шина	497501	как мобилизовать рассчитать	0
476782	импортный на расход сертификация товар учет	497113	бюджетный в график для занесение кбк план учреждение	0
499887	на ниокрый расход списание	502312	больничный выплата и начисление ндфл перечисление срок	0
497425	вкладыш выдавать книжка трудовой	465026	01 1 2019 год для до закупка заявка июль миллион нмцк обеспечение рубль с с	0
471590	как налоговый о получать применение уведомление усна	498599	абонемент если компания налог оплачивать фитнес	0
511400	лист путевой срок	481835	военный мобилизация	0
497997	автомобиль при страхование усна	497139	в внесение график изменение обоснование план	0
482702	аренда бух выставка и на площадь учет	479106	вычет договор на по ребенок с с стипендия ученический	0
498599	для на налог прибыль услуга фитнес	482476	госпошлина знак при регистрация товарный	0
496976	годовой декларация сдача срок усна	496996	арбитр в доверенность юрлицо	0
479076	в ипать нулевой рсв среднесписочный численность	496964	2022 в год как написать платежка по усна	0
494803	15 и как ндфл платить считать	496976	в декларация деятельность ипать какой нужно по подавать прекращение при срок усна	0
496791	больничный в какой оплачивать размер	501389	малый политика предприятие усно учетный	0
481244	вычет на обучение ребенок	479782	в весть как кассовый книга обособленный подразделение	0
497766	декларация как ндс по сделать уточнять	491181	без зп отпуск при сзв сохранение стаж	0
497143	в в график еис изменение план размещение срок	497101	график план порядок разработка	0
500729	валюта курсовой покупка при продажа разница учет	500310	арендный как начислять обеспечительный платеж помещение	0
497997	здание на страхование усна	503982	в доход минус расход самара ставка усна	0
471590	из о приминение уведомление усна фнс	497425	в вкладыш выдавать книжка предприятие сотрудник трудовой	0
467989	в для документ покупатель присоединение реорганизация форма	497503	в мобилизация по ставить табель что	0
494803	15 дивиденд какой ндфл применять с ставка сумма	497503	в мобилизация писать при табель что	0
465717	государственный идентификатор контракт	498720	11 1210 15 2022 мчс от распоряжение	0
481244	вычет обучение ребенок социальный	506913	2022 декларация есхн за	0
474811	1 2022 договор дополнение к март охрана с труд трудовой	497121	10 график день ждать не нужно план	0
474140	взыскание госконтракт и одновременно пеня по штраф	501058	за компенсация ндфл неиспользованный отпуск при увольнение	0
489396	ос переоценка политика учетный	497108	без в внесение график заключать контракт план	0
497771	декларация ндс нулевой по	486122	забирать из ипать касса личный проводка средство	0
500310	аренда дебет и кредит обеспечительный платеж по про сальдо	499910	1 tac	0
497121	будущий год график когда на необходимо план сформировывать	497121	график заказчик когда нужно план проект федеральный формировать	1
497101	в график кредиторка план	497986	для доход ипать каникулы минус налоговый расход усна	0
497997	на огонь от при расход страхование усна	497427	как книжка оформлять потеря работник трудовой	0
482207	14 43 коап	497121	2020 год график на план размещение срок	0
495742	в взнос для доход ипать как на патент пфр рассчитать у	502544	больничный инвалидность как платить при установление	0
502336	земельный лицо ндфл при продажа уплата участок физический	484859	4 декларация код ндс операция раздел	0
476456	видеоинструкция заполнять как накладная транспортный	497501	как мобилизация оплачивать частичный	0
483732	2 2022 2022 3 4 4 9 г за за квартал месяц нулевой отчет отчет фсс фсс	501009	2022 год за расчет сбор сумма экологический	0
498821	в октябрь срок уплата усна	497112	2020 год график кто мочь план публиковать	0
502336	база земельный налоговый ндфл при продажа участок	481751	воинский как с снимать учет	0
496996	в доверенность интерес на ооо представление суд	497142	2023 в год график еис на направлять план проект	0
496664	аренда объект ремонт	497135	в график использование план экономия	0
476455	накладной транспортный транспортный услуга экспедиторский	497766	заполнение корректировка ндс по	0
497142	в график июль план сформировывать	495435	договор заключать какой коллективный обязанный предприятие	0
479106	договор лицензия ученический	465717	игк ли нужно посредник ставить	0
2866	график извещение план после срок	494342	выставка для расход	0
500729	валюта курсовой покупка разница	497766	декларация когда ндс по сдавать уточнять	0
471523	заявление крайний на срок усна	490333	мобилизованный по сзв тд	0
