FastAnswId	ShortAnswer
471765	Проводите первичный противопожарный инструктаж по актуальным наглядным пособиям, учебно-методическим материалам в бумажном или электронном виде. Допускается совместить вводный и первичный инструктажи (п. 15 приложения 1 к приказу МЧС № 806).Когда проводят:до начала работы.Где проводят:на рабочем месте.С кем проводят:со всеми работниками, которые прошли вводный противопожарный инструктаж. С работниками, которые переведены из другого подразделения и (или) переведены на другую работу.
1339	Решения, в которых срок не указан, действуют один год, если другой срок не вытекает из существа сделки или обстоятельств, в которых дано согласие.
13375	Используйте образец, чтобы сделать адресату официальное предложение по поставке продукции. В письмеукажите конкретные условиясделки. Адресат вправе акцептовать оферту также вформе письма. В этом случае договор будет считаться заключенным путем обмена письмами.
503019	С 1 сентября 2022 года действуют новые правила работы с персональными данными и сталобольше причин уведомлять Роскомнадзор об обработке такихданных.Когда работаете с персональными данными сотрудников, соблюдайте утвержденный порядок получения, передачи, хранения и уничтожения персданных. В рекомендации – какие документы оформить, чтобы работать с персональными данными, а также как накажут компанию и должностных лиц за ошибки в работе с персданными.
483542	Если совместитель не предъявил при приеме на работу документы воинского учета, в частности военный билет, то это не будет основанием для отказа в трудоустройстве. Однако такую информацию необходимо сообщить в военкомат. При этом соискатель вправе при приеме на работу предъявить временное удостоверение, которое выдают взамен военного билета (п. 18 положения, утв. постановлением Правительства от 27.11.2006 № 719).
425130	Сотруднику рекомендуется сообщать олегкихповреждениях любому руководителю или медицинскому работнику.Это указано в пункте 5 Рекомендаций. Но если работодатель закрепит обязанность сообщать о микротравме в ЛНА, то для работника такое требование станет обязательным.
453187	Независимо отвида страхованиякомпенсацию, полученную отстраховой компании, включите вдоходы вбухгалтерском иналоговом учете. Расходы наремонт автомобиля учитывайте вобычном порядке. Порядок учета возмещения такойже, как при страховании имущества. Подробнее– врекомендации.Вместо денежной выплаты страховая компания может отремонтировать автомобиль, поврежденный вДТП. Вэтом случае доходов вучете уорганизации невозникает.
491348	Размер аванса позарплате безопаснее платить исходя изфактически отработанного времени. С2023 года при выплате аванса нужно удерживать НДФЛ. Если выплачиваете аванс вразмере 40процентов отзарплаты, нужно увеличить его размер. Если оставите прежний размер, сумма аванса наруки будет меньше всвязи судержанием НДФЛ ивозможны споры как сработниками, так и с трудовой инспекцией.
398228	Установить испытательный срок при переводе на другую должность нельзя. Даже если работник сам согласен на такую проверку. На это указывает статья 70 ТК и Роструд в письмах от 25.04.2011 № 1081-6-1, от 02.03.2011 № 520-6-1.
478230	Чтобы определить эксплуатационные нормы пробега шин, втом числе для целей налогообложения, можно использовать временные нормы, которые утверждены Минтрансом04.04.2002. Указанные нормы действуют без ограничения срока действия довступления всилу соответствующих технических регламентов (информационное письмо Минтранса от07.12.2006 №0132-05/394). Внастоящее время документов, которые заменяют временные нормы, нет.
500958	Размер, сроки, основания выплаты матпомощи устанавливает работодатель. Обычно ее выплачивают за счет собственных средств организации. На эти цели можно направить как нераспределенную прибыль прошлых лет, так и прибыль текущего года. В рекомендации порядок и образцы документов для оформления матпомощи и как отразить матпомощь в бухучете,при расчете страховых взносови налогов.
423824	Занеявку вИФНС для дачи пояснений должностному лицу иИП грозит штраф от2000 до4000руб. (ч.1ст.19.4КоАП). Заотказ давать пояснения, если представитель налогоплательщика явился вИФНС, штраф непредусмотрен. Занеявку надопрос свидетеля штраф– 1000руб., заповторное нарушение– 2000руб. Заотказ отдачи показаний или дачу заведомо ложных показаний штраф свидетеля– 3000руб. (п.2ст.112, п.4ст.114, абз.1ст.128НК,письмоМинфинаот 08.08.2022 № 03-02-07/76644).
450446	Если предоставлен денежный заем (кредит), то после того, как заимодавец (кредитор) внес деньги в кассу (такой способ возможен только по займу) или перевел их на банковский счет организации, в учете сделайте запись:Дебет 50 (51)Кредит 66 (67)– получен денежный заем (кредит).Это следует из пункта 2 ПБУ 15/2008, Инструкции к плану счетов (счета 66, 67).
